time,device_id,device_name,capability,attribute,current_value,is_changed,is_attack,Orignal Value
2019-06-05 12:38:37,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 12:44:03,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 12:44:16,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 12:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-05 12:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-05 12:49:19,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 12:49:34,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 12:52:52,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 12:53:07,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 12:55:35,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 12:55:50,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 12:57:16,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 12:57:30,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 12:57:34,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 12:58:31,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,accelerationSensor,acceleration,active,TRUE,,active
2019-06-05 12:58:31,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-05 12:58:32,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,contactSensor,contact,closed,TRUE,,closed
2019-06-05 12:58:32,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-05 12:58:34,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-05 12:58:35,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-05 12:58:44,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 12:58:44,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,accelerationSensor,acceleration,inactive,TRUE,,inactive
2019-06-05 13:00:33,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,temperatureMeasurement,temperature,74,TRUE,,74
2019-06-05 13:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-05 13:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-05 13:34:05,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,contactSensor,contact,open,TRUE,,open
2019-06-05 13:34:07,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 13:34:22,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 13:34:41,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 13:35:07,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 13:35:27,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 13:35:42,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 13:36:04,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 13:36:17,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 13:39:03,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 13:39:18,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 13:42:27,f4ca5f3b-9f9f-45eb-8014-04a4ee262ec5,Blase's Smartphone,presenceSensor,presence,present,TRUE,,present
2019-06-05 13:42:27,f4ca5f3b-9f9f-45eb-8014-04a4ee262ec5,Blase's Smartphone,occupancySensor,occupancy,occupied,TRUE,,occupied
2019-06-05 13:45:11,f4ca5f3b-9f9f-45eb-8014-04a4ee262ec5,Blase's Smartphone,occupancySensor,occupancy,unoccupied,TRUE,,unoccupied
2019-06-05 13:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-05 13:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-05 13:45:38,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 13:45:58,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 13:51:16,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 13:51:31,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 13:58:20,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-05 13:59:00,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 13:59:23,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 14:10:05,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 14:10:20,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 14:14:37,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 14:14:52,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 14:15:44,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 14:15:59,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 14:16:29,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 14:16:44,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 14:17:15,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 14:17:29,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-05 14:17:41,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-05 14:17:56,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
